id,EditableStatement_graph_id,LiteratureReference_graph_id
,es_20200422171221297964,ref_31648931
,es_20200422171221297964,ref_27888400
,es_20200422171221297964,ref_27610696
,es_20200422171221297964,ref_19147556
,es_2020042716031260000,ref_21620960
,es_2020042716031260000,ref_18955974
,es_20200428105655722000,ref_30562755
,es_20200428105655722000,ref_10959075
,es_20200505102542505000,ref_29704617
,es_20200505102542505000,ref_23181448
,es_20200428154148358000,ref_15170388
,es_20200428154148358000,ref_25674384
,es_2020043013284176000,ref_28452926
,es_2020043013284176000,ref_30562755
,es_2020043013284176000,ref_11074002
,es_20200501145448900000,ref_17471238
,es_20200501145448900000,ref_29209536
,es_20200529105519252000,ref_23330955
,es_20200422163434616772,ref_24854991
,es_20200422163434616772,ref_28529740
,es_20200422164038748197,ref_30587525
,es_20200422164038748197,ref_30536701
,es_20200422164038748197,ref_30579871
,es_20200422164038748197,ref_28722178
,es_20200430123502128000,ref_19167329
,es_20200501091216559000,ref_17525340
,es_20200513144917885000,ref_24146823
,es_20200429111602813000,ref_22864622
,es_20200501102050553000,ref_30562755
,es_20200501102050553000,ref_21203981
,es_20200422171703395587,ref_29324315
,es_20200422171703395587,ref_22937203
,es_20200422171703395587,ref_29602065
,es_20200422171703395587,ref_30650517
,es_20200422163435665289,ref_25672416
,es_20200429113118771000,ref_28095398
,es_20200501111548764000,ref_26398719
,es_20200501111548764000,ref_21892142
,es_20200501111548764000,ref_30562755
,es_20200501113744778000,ref_29540830
,es_20200501113744778000,ref_27478040
,es_20200501113744778000,ref_24737949
,es_20200501140111640000,ref_30110910
,es_20200501140111640000,ref_29274272
,es_20200511155441454000,ref_31138793
,es_20200511155441454000,ref_30022982
,es_20200511155441454000,ref_30814996
,es_20200512103115920000,ref_31150281
,es_20200512103115920000,ref_16943429
,es_20200512103115920000,ref_10898795
,es_20200512103115920000,ref_12776190
,es_20200513152158895000,ref_16989776
,es_20200513163359375000,ref_24043446
,es_20200513163359375000,ref_31248103
,es_20200513163359375000,ref_32071145
,es_20200514113822380000,ref_29420051
,es_20200514113822380000,ref_27030077
,es_2020051413443151000,ref_19147556
,es_20200515111653716000,ref_30010043
,es_20200515111653716000,ref_22306263
,es_20200515111653716000,ref_26314551
,es_20200515111653716000,ref_25190083
,es_20200515111653716000,ref_32180898
,es_20200515111653716000,ref_21330321
,es_20200515111653716000,ref_28147323
,es_20200518105800453000,ref_30420357
,es_20200518105800453000,ref_24499181
,es_20200422172145346429,ref_20812024
,es_20200424104553389000,ref_14718166
,es_20200430163420761790,ref_19167329
,es_2020051116154882000,ref_26405162
,es_2020051116154882000,ref_23064249
,es_20200513093548907000,ref_22959412
,es_20200513093548907000,ref_28470469
,es_20200513093548907000,ref_19940256
,es_20200521135144118000,ref_25003966
,es_20200521135144118000,ref_21263457
,es_2020052608521191000,ref_27839873
,es_2020052608521191000,ref_25998713
,es_20200527100418397000,ref_8942985
,es_20200527100418397000,ref_27546332
,es_20200505141805400000,ref_19290934
,es_20200505141805400000,ref_15575979
,es_20200506100836351000,ref_29134959
,es_20200506100836351000,ref_24561444
,es_20200508163328557000,ref_29786110
,es_20200508163328557000,ref_31911584
,es_20200422163440333257,ref_23911321
,es_20200422163440333257,ref_28624440
,es_20200422163440333257,ref_12435635
,es_20200422163440333257,ref_28514182
,es_20200422163440333257,ref_27160538
,es_20200518161101262000,ref_23410976
,es_20200518161101262000,ref_30066881
,es_20200520112000576000,ref_1549352
,es_20200520112000576000,ref_16875743
,es_20200422163431826820,ref_18771919
,es_20200422163431826820,ref_23398123
,es_20200422163613018010,ref_26950094
,es_20200422163613018010,ref_22817889
,es_20200422163613018010,ref_27184836
,es_20200422163433090412,ref_30337562
,es_20200422163433090412,ref_11948179
,es_20200422163433090412,ref_10702393
,es_20200422174759854500,ref_21965087
,es_20200512120220955000,ref_15494376
,es_20200520154611658000,ref_18991062
,es_20200520154611658000,ref_26305432
,es_20200521112933858000,ref_22564439
,es_20200521112933858000,ref_16417579
,es_20200521112933858000,ref_28114282
,es_20200522095447295000,ref_20005735
,es_20200422171928168012,ref_30122982
,es_20200422171928168012,ref_24737949
,es_20200422171928168012,ref_29540830
,es_20200422171928168012,ref_27478040
,es_20200422171928168012,ref_29729495
,es_20200422171928168012,ref_12970315
,es_20200422163832276717,ref_23577092
,es_20200422163832276717,ref_24595077
,es_20200422163832276717,ref_15907477
,es_20200501105458132000,ref_29998084
,es_20200501105458132000,ref_25388163
,es_20200501154015588000,ref_25568876
,es_20200501154015588000,ref_29093528
,es_20200501154015588000,ref_26578684
,es_20200518164451200000,ref_29022918
,es_20200518164451200000,ref_15928710
,es_20200518164451200000,ref_24003208
,es_20200519102013963000,ref_26074087
,es_20200519102013963000,ref_29187510
,es_20200520142241252000,ref_29158051
,es_20200520142241252000,ref_18715783
,es_20200522075154734000,ref_24453034
,es_20200527131819356000,ref_24396275
,es_20200527131819356000,ref_19862546
,es_20200528143130971000,ref_31077944
,es_20200528143130971000,ref_23867514
,es_20200423071749530689,ref_28174424
,es_20200423071749530689,ref_23856527
,es_20200423071749530689,ref_25377469
,es_20200423071755311596,ref_23938203
,es_20200423071755311596,ref_15995708
,es_20200423071755311596,ref_23408426
,es_20200423071804325764,ref_26507128
,es_20200423071810687838,ref_15067037
,es_20200423071813711734,ref_23911524
,es_20200423071813711734,ref_31102428
,es_20200423071817792369,ref_14559844
,es_20200423071817792369,ref_15715909
,es_20200423071825393326,ref_21924928
,es_20200423071825393326,ref_28320875
,es_20200423071827962816,ref_10549624
,es_20200423071827962816,ref_11973139
,es_20200423071827962816,ref_31634400
,es_20200423071831143175,ref_16728393
,es_20200423071831143175,ref_30402328
,es_20200423071831143175,ref_30336781
,es_20200423071845297058,ref_26325035
,es_20200423071845297058,ref_26681673
,es_20200423071845297058,ref_26320063
,es_20200423071845297058,ref_24403232
,es_20200423071851799449,ref_24058806
,es_20200423071851799449,ref_29921905
,es_20200423071856867428,ref_17932028
,es_20200423071856867428,ref_23520111
,es_20200422181610111878,ref_26320063
,es_20200422181610111878,ref_26681673
,es_20200422181610111878,ref_24403232
,es_20200422181610111878,ref_26325035
,es_20200422181618741707,ref_24058806
,es_20200422181618741707,ref_29921905
,es_20200422181624808610,ref_14976261
,es_20200422181624808610,ref_31608988
,es_20200422181624808610,ref_12738885
,es_20200422181624808610,ref_27742543
,es_20200501133944648000,ref_22128285
,es_20200422164143434252,ref_27301701
,es_20200422164143434252,ref_23393140
,es_20200422164143434252,ref_25820824
,es_20200427160741408000,ref_27573755
,es_20200427160741408000,ref_25749034
,es_20200427160741408000,ref_21948233
,es_20200427160741408000,ref_21502284
,es_2020043014541309000,ref_30562755
,es_2020043014541309000,ref_24656806
,es_2020043014541309000,ref_30145641
,es_20200505102725124000,ref_28711227
,es_20200505102725124000,ref_23999441
,es_20200505130444264000,ref_24089445
,es_20200505130444264000,ref_30061045
,es_2020050515515896000,ref_2963698
,es_2020050515515896000,ref_30842218
,es_2020050515515896000,ref_28986033
,es_20200507142605249000,ref_31901237
,es_20200507142605249000,ref_31495053
,es_20200508162420509000,ref_23303139
,es_20200508155508831000,ref_24362326
,es_20200508155508831000,ref_30112706
,es_20200428134653496000,ref_24909511
,es_20200428134653496000,ref_21784131
,es_20200507132552315000,ref_25326665
,es_20200507132552315000,ref_17471238
,es_20200511131415919000,ref_27433843
,es_20200511131415919000,ref_3312414
,es_20200511131415919000,ref_26147761
,es_20200520132904206000,ref_28970150
,es_20200520132904206000,ref_23874397
,es_20200521111450533000,ref_30544257
,es_20200521111450533000,ref_22291485
,es_20200521111450533000,ref_26875626
,es_20200430113022554000,ref_23411347
,es_20200429114812449000,ref_30166345
,es_20200429114812449000,ref_10700176
,es_20200430115905760000,ref_11792814
,es_20200430115905760000,ref_18396275
,es_20200501152843658000,ref_31747945
,es_20200501152843658000,ref_23550303
,es_20200501152843658000,ref_24347639
,es_2020051116111842000,ref_9990505
,es_20200518101928237000,ref_31423109
,es_20200518101928237000,ref_28855541
,es_20200518101928237000,ref_19851314
,es_20200518111154195000,ref_21427765
,es_20200518111154195000,ref_31791371
,es_20200518111154195000,ref_23559250
,es_20200520162808467000,ref_28327556
,es_20200520162808467000,ref_29458773
,es_20200427111718529000,ref_19801972
,es_20200427111718529000,ref_25621951
,es_20200428160336224000,ref_28238438
,es_20200429141357979000,ref_28072762
,es_20200429141357979000,ref_28251492
,es_20200429163144759000,ref_23622131
,es_20200507101705414000,ref_21653699
,es_2020050711471431000,ref_26431164
,es_20200511105715953000,ref_22773955
,es_20200515130250634000,ref_18826954
,es_20200515130250634000,ref_21247897
,es_20200501115313670000,ref_23666797
,es_20200501115313670000,ref_22482125
,es_20200501115411175000,ref_30562755
,es_20200501115411175000,ref_18726070
,es_20200501115411175000,ref_26674224
,es_20200512100534150000,ref_31788471
,es_20200512100534150000,ref_20498019
,es_20200512100957495000,ref_16943429
,es_20200512100957495000,ref_10898795
,es_20200512100957495000,ref_12776190
,es_20200428101519586000,ref_24021977
