field,editDate,editorId,graph_id
synonyms_jax_gene_1031,2020-06-04-11-54-58-933594,user_20200422163431232329,esl_20200604115458933594
synonyms_jax_gene_9261,2020-06-04-11-54-58-933673,user_20200422163431232329,esl_20200604115458933673
synonyms_jax_gene_84444,2020-06-04-11-54-58-933705,user_20200422163431232329,esl_20200604115458933705
synonyms_jax_gene_1025,2020-06-04-11-54-58-933732,user_20200422163431232329,esl_20200604115458933732
synonyms_jax_gene_5927,2020-06-04-11-54-58-933760,user_20200422163431232329,esl_20200604115458933760
synonyms_jax_gene_54619,2020-06-04-11-54-58-933787,user_20200422163431232329,esl_20200604115458933787
synonyms_jax_gene_6502,2020-06-04-11-54-58-933812,user_20200422163431232329,esl_20200604115458933812
synonyms_jax_gene_192670,2020-06-04-11-54-58-933839,user_20200422163431232329,esl_20200604115458933839
synonyms_jax_gene_8859,2020-06-04-11-54-58-933864,user_20200422163431232329,esl_20200604115458933864
synonyms_jax_gene_471,2020-06-04-11-54-58-933895,user_20200422163431232329,esl_20200604115458933895
synonyms_jax_gene_673,2020-06-04-11-54-58-933923,user_20200422163431232329,esl_20200604115458933923
synonyms_jax_gene_11100,2020-06-04-11-54-58-933952,user_20200422163431232329,esl_20200604115458933952
synonyms_jax_gene_902,2020-06-04-11-54-58-933978,user_20200422163431232329,esl_20200604115458933978
synonyms_jax_gene_867,2020-06-04-11-54-58-934005,user_20200422163431232329,esl_20200604115458934005
synonyms_jax_gene_2146,2020-06-04-11-54-58-934033,user_20200422163431232329,esl_20200604115458934033
synonyms_jax_gene_4303,2020-06-04-11-54-58-934063,user_20200422163431232329,esl_20200604115458934063
synonyms_jax_gene_54926,2020-06-04-11-54-58-934089,user_20200422163431232329,esl_20200604115458934089
synonyms_jax_gene_1910,2020-06-04-11-54-58-934123,user_20200422163431232329,esl_20200604115458934123
synonyms_jax_gene_6386,2020-06-04-11-54-58-934163,user_20200422163431232329,esl_20200604115458934163
synonyms_jax_gene_830,2020-06-04-11-54-58-934195,user_20200422163431232329,esl_20200604115458934195
synonyms_jax_gene_123169,2020-06-04-11-54-58-934224,user_20200422163431232329,esl_20200604115458934224
synonyms_jax_gene_10013,2020-06-04-11-54-58-934251,user_20200422163431232329,esl_20200604115458934251
synonyms_jax_gene_55819,2020-06-04-11-54-58-934283,user_20200422163431232329,esl_20200604115458934283
synonyms_jax_gene_65056,2020-06-04-11-54-58-934312,user_20200422163431232329,esl_20200604115458934312
synonyms_jax_gene_7128,2020-06-04-11-54-58-934344,user_20200422163431232329,esl_20200604115458934344
synonyms_jax_gene_3757,2020-06-04-11-54-58-934375,user_20200422163431232329,esl_20200604115458934375
synonyms_jax_gene_54567,2020-06-04-11-54-58-934407,user_20200422163431232329,esl_20200604115458934407
synonyms_jax_gene_11252,2020-06-04-11-54-58-934434,user_20200422163431232329,esl_20200604115458934434
synonyms_jax_gene_5396,2020-06-04-11-54-58-934458,user_20200422163431232329,esl_20200604115458934458
synonyms_jax_gene_4342,2020-06-04-11-54-58-934485,user_20200422163431232329,esl_20200604115458934485
synonyms_jax_gene_2042,2020-06-04-11-54-58-934509,user_20200422163431232329,esl_20200604115458934509
synonyms_jax_gene_54658,2020-06-04-11-54-58-934540,user_20200422163431232329,esl_20200604115458934540
synonyms_jax_gene_6390,2020-06-04-11-54-58-934573,user_20200422163431232329,esl_20200604115458934573
synonyms_jax_gene_91607,2020-06-04-11-54-58-934603,user_20200422163431232329,esl_20200604115458934603
synonyms_jax_gene_81607,2020-06-04-11-54-58-934627,user_20200422163431232329,esl_20200604115458934627
synonyms_jax_gene_6778,2020-06-04-11-54-58-934655,user_20200422163431232329,esl_20200604115458934655
synonyms_jax_gene_9659,2020-06-04-11-54-58-934682,user_20200422163431232329,esl_20200604115458934682
synonyms_jax_gene_51548,2020-06-04-11-54-58-934707,user_20200422163431232329,esl_20200604115458934707
synonyms_jax_gene_5787,2020-06-04-11-54-58-934731,user_20200422163431232329,esl_20200604115458934731
synonyms_jax_gene_1639,2020-06-04-11-54-58-934759,user_20200422163431232329,esl_20200604115458934759
synonyms_jax_gene_7186,2020-06-04-11-54-58-934785,user_20200422163431232329,esl_20200604115458934785
synonyms_jax_gene_5154,2020-06-04-11-54-58-934811,user_20200422163431232329,esl_20200604115458934811
synonyms_jax_gene_2255,2020-06-04-11-54-58-934836,user_20200422163431232329,esl_20200604115458934836
synonyms_jax_gene_1029,2020-06-04-11-54-58-934861,user_20200422163431232329,esl_20200604115458934861
synonyms_jax_gene_3716,2020-06-04-11-54-58-934905,user_20200422163431232329,esl_20200604115458934905
synonyms_jax_gene_3281,2020-06-04-11-54-58-934933,user_20200422163431232329,esl_20200604115458934933
synonyms_jax_gene_5292,2020-06-04-11-54-58-934957,user_20200422163431232329,esl_20200604115458934957
synonyms_jax_gene_308,2020-06-04-11-54-58-934981,user_20200422163431232329,esl_20200604115458934981
synonyms_jax_gene_5894,2020-06-04-11-54-58-935008,user_20200422163431232329,esl_20200604115458935008
synonyms_jax_gene_1479,2020-06-04-11-54-58-935036,user_20200422163431232329,esl_20200604115458935036
synonyms_jax_gene_7057,2020-06-04-11-54-58-935060,user_20200422163431232329,esl_20200604115458935060
synonyms_jax_gene_6646,2020-06-04-11-54-58-935087,user_20200422163431232329,esl_20200604115458935087
synonyms_jax_gene_3014,2020-06-04-11-54-58-935116,user_20200422163431232329,esl_20200604115458935116
synonyms_jax_gene_55120,2020-06-04-11-54-58-935141,user_20200422163431232329,esl_20200604115458935141
synonyms_jax_gene_23030,2020-06-04-11-54-58-935167,user_20200422163431232329,esl_20200604115458935167
