id,Author_graph_id,LiteratureReference_graph_id
,author_baumer_sh,ref_19147556
,author_billups_c,ref_19147556
,author_helton_kj,ref_19147556
,author_saab_r,ref_19147556
,author_rodriguez_galindo_c,ref_19147556
,author_matmati_k,ref_19147556
,author_skapek_sx,ref_19147556
,author_rehg_je,ref_19147556
,author_neale_g,ref_19147556
,author_khoury_jd,ref_19147556
,author_arteaga_cl,ref_24651011
,author_engelman_ja,ref_24651011
,author_loughran_sj,ref_18500345
,author_henley_kj,ref_18500345
,author_hilton_dj,ref_18500345
,author_voss_ak,ref_18500345
,author_metcalf_d,ref_18500345
,author_kruse_ea,ref_18500345
,author_ellis_s,ref_18500345
,author_willson_ta,ref_18500345
,author_hacking_df,ref_18500345
,author_de_graaf,ref_18500345
,author_kile_bt,ref_18500345
,author_hyland_cd,ref_18500345
,author_alexander_ws,ref_18500345
,author_pecina_slaus_n,ref_23666797
,author_wei_g,ref_30712867
,author_deng_x,ref_30712867
,author_xu_zx,ref_30712867
,author_liu_y,ref_30712867
,author_cui_r,ref_30712867
,author_liu_t,ref_30712867
,author_wang_p,ref_30712867
,author_wei_z,ref_30712867
,author_miao_x,ref_30712867
,author_zhang_j,ref_30712867
,author_zhang_t,ref_30712867
,author_chen_s,ref_30712867
,author_li_l,ref_30712867
,author_li_x,ref_30712867
,author_mi_x,ref_30712867
,author_goding_cr,ref_30712867
,author_zhu_b,ref_30712867
,author_gao_x,ref_30712867
,author_li_s,ref_30712867
,author_huang_c,ref_30712867
,author_yin_c,ref_30712867
,author_van_leeuwen,ref_24854991
,author_karemaker_id,ref_24854991
,author_mclean_cm,ref_24854991
,author_alakus_h,ref_28529740
,author_heydt_c,ref_28529740
,author_quaas_a,ref_28529740
,author_buettner_r,ref_28529740
,author_waldschmidt_d,ref_28529740
,author_zander_t,ref_28529740
,author_plum_p,ref_28529740
,author_loeser_h,ref_28529740
,author_kuetting_f,ref_28529740
,author_morales_f,ref_28722178
,author_boffo_s,ref_28722178
,author_franco_lc,ref_28722178
,author_giordano_a,ref_28722178
,author_rosenwald_a,ref_29187510
,author_quinkler_m,ref_29187510
,author_ronchi_cl,ref_29187510
