name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonyms_graph_id,transcript_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
CRKL,CRKL,es_20200514163412126000,es_20200422172704578354,esl_20200604115459016049,es_20200604115459016049,geneInfo_gene_1399,jax_gene_1399,uniprot_P46109,omnigene_1399
AR,AR,es_20200428134653496000,es_20200422172145719434,esl_20200604115459016130,es_20200604115459016130,geneInfo_gene_367,jax_gene_367,uniprot_P10275,omnigene_367
SMC3,SMC3,es_20200422174749866373,es_20200422174749866391,esl_20200604115459016160,es_20200604115459016160,geneInfo_gene_9126,jax_gene_9126,uniprot_Q9UQE7,omnigene_9126
SOX10,SOX10,es_20200422174800270384,es_20200422174800270411,esl_20200604115459016188,es_20200604115459016188,geneInfo_gene_6663,jax_gene_6663,uniprot_P56693,omnigene_6663
CD79B,CD79B,es_20200513144917885000,es_20200422172543977661,esl_20200604115459016215,es_20200604115459016215,geneInfo_gene_974,jax_gene_974,uniprot_P40259,omnigene_974
ACVR1,ACVR1,es_20200427105937999000,es_20200422172101224462,esl_20200604115459016242,es_20200604115459016242,geneInfo_gene_90,jax_gene_90,uniprot_Q04771,omnigene_90
ABL2,ABL2,es_20200430190649983000,es_20200422172059166344,esl_20200604115459016269,es_20200604115459016269,geneInfo_gene_27,jax_gene_27,uniprot_P42684,omnigene_27
ACVR1B,ACVR1B,es_20200427105951301000,es_20200422172103499054,esl_20200604115459016298,es_20200604115459016298,geneInfo_gene_91,jax_gene_91,uniprot_P36896,omnigene_91
ABL1,ABL1,es_2020042315331686000,es_20200422172057009374,esl_20200604115459016326,es_20200604115459016326,geneInfo_gene_25,jax_gene_25,uniprot_P00519,omnigene_25
ADORA2A,ADORA2A,es_20200423071749530689,es_20200422172108446620,esl_20200604115459016364,es_20200604115459016364,geneInfo_gene_135,jax_gene_135,uniprot_P29274,omnigene_135
ACVRL1,ACVRL1,es_20200427160806345000,es_20200422172105978721,esl_20200604115459016391,es_20200604115459016391,geneInfo_gene_94,,uniprot_P37023,omnigene_94
ANKRD26,ANKRD26,es_20200428103418697000,es_20200422172136480721,esl_20200604115459016417,es_20200604115459016417,geneInfo_gene_22852,jax_gene_22852,uniprot_Q9UPS8,omnigene_22852
AKT1,AKT1,es_20200427155531373000,es_20200422172120404444,esl_20200604115459016445,es_20200604115459016445,geneInfo_gene_207,jax_gene_207,uniprot_P31749,omnigene_207
AKT2,AKT2,es_20200427155736369000,es_20200422172125256566,esl_20200604115459016472,es_20200604115459016472,geneInfo_gene_208,jax_gene_208,uniprot_P31751,omnigene_208
APEX1,APEX1,es_20200428135245728000,es_20200422172141997843,esl_20200604115459016498,es_20200604115459016498,geneInfo_gene_328,,uniprot_P27695,omnigene_328
AKT3,AKT3,es_2020042716031260000,es_20200422172127386598,esl_20200604115459016523,es_20200604115459016523,geneInfo_gene_10000,jax_gene_10000,uniprot_Q9Y243,omnigene_10000
ALK,ALK,es_20200427160741408000,es_20200422172129607557,esl_20200604115459016584,es_20200604115459016584,geneInfo_gene_238,jax_gene_238,uniprot_Q9UM73,omnigene_238
ARAF,ARAF,es_20200428140900470000,es_20200422172148041121,esl_20200604115459016612,es_20200604115459016612,geneInfo_gene_369,jax_gene_369,uniprot_P10398,omnigene_369
ARID1A,ARID1A,es_20200428151832373000,es_20200422172152135103,esl_20200604115459016638,es_20200604115459016638,geneInfo_gene_8289,jax_gene_8289,uniprot_O14497,omnigene_8289
ALOX12B,ALOX12B,es_20200428101519586000,es_20200422172132055960,esl_20200604115459016665,es_20200604115459016665,geneInfo_gene_242,jax_gene_242,uniprot_O75342,omnigene_242
APC,APC,es_20200428105655722000,es_20200422172139748030,esl_20200604115459016692,es_20200604115459016692,geneInfo_gene_324,jax_gene_324,uniprot_P25054,omnigene_324
ANKRD11,ANKRD11,es_20200428102809690000,es_20200422172134927991,esl_20200604115459016718,es_20200604115459016718,geneInfo_gene_29123,jax_gene_29123,uniprot_Q6UB99,omnigene_29123
ARID1B,ARID1B,es_20200428154148358000,es_20200422172155004436,esl_20200604115459016745,es_20200604115459016745,geneInfo_gene_57492,jax_gene_57492,uniprot_Q8NFD5,omnigene_57492
ARFRP1,ARFRP1,es_20200428145145576000,es_20200422172149598556,esl_20200604115459016772,es_20200604115459016772,geneInfo_gene_10139,jax_gene_10139,uniprot_Q13795,omnigene_10139
