id,name,EditableSynonymList_graph_id
,INK4C,esl_20200604115458933594
,p18,esl_20200604115458933594
,p18-INK4C,esl_20200604115458933594
,MAPKAP-K2,esl_20200604115458933673
,MK-2,esl_20200604115458933673
,MK2,esl_20200604115458933673
,DOT1,esl_20200604115458933705
,KMT4,esl_20200604115458933705
,C-2k,esl_20200604115458933732
,CDC2L4,esl_20200604115458933732
,CTK1,esl_20200604115458933732
,PITALRE,esl_20200604115458933732
,TAK,esl_20200604115458933732
,RBBP-2,esl_20200604115458933760
,RBBP2,esl_20200604115458933760
,RBP2,esl_20200604115458933760
,bA690P14.1,esl_20200604115458933787
,FBL1,esl_20200604115458933812
,FBXL1,esl_20200604115458933812
,FLB1,esl_20200604115458933812
,p45,esl_20200604115458933812
,EIF2C4,esl_20200604115458933839
,D6S60,esl_20200604115458933864
,D6S60E,esl_20200604115458933864
,G11,esl_20200604115458933864
,HLA-RP1,esl_20200604115458933864
,RP1,esl_20200604115458933864
,AICAR,esl_20200604115458933895
,AICARFT,esl_20200604115458933895
,HEL-S-70p,esl_20200604115458933895
,IMPCHASE,esl_20200604115458933895
,PURH,esl_20200604115458933895
,B-raf,esl_20200604115458933923
,B-RAF1,esl_20200604115458933923
,BRAF1,esl_20200604115458933923
,NS7,esl_20200604115458933923
,RAFB1,esl_20200604115458933923
,E1B-AP5,esl_20200604115458933952
,E1BAP5,esl_20200604115458933952
,HNRPUL1,esl_20200604115458933952
,CAK,esl_20200604115458933978
,CycH,esl_20200604115458933978
,p34,esl_20200604115458933978
,p37,esl_20200604115458933978
,C-CBL,esl_20200604115458934005
,CBL2,esl_20200604115458934005
,FRA11B,esl_20200604115458934005
,NSLL,esl_20200604115458934005
,RNF55,esl_20200604115458934005
,ENX-1,esl_20200604115458934033
,ENX1,esl_20200604115458934033
,EZH2b,esl_20200604115458934033
,KMT6,esl_20200604115458934033
,KMT6A,esl_20200604115458934033
,WVS,esl_20200604115458934033
,WVS2,esl_20200604115458934033
,AFX,esl_20200604115458934063
,AFX1,esl_20200604115458934063
,MLLT7,esl_20200604115458934063
,CDC34B,esl_20200604115458934089
,E2-CDC34B,esl_20200604115458934089
,UBC3B,esl_20200604115458934089
,ABCDS,esl_20200604115458934123
,ET-B,esl_20200604115458934123
,ET-BR,esl_20200604115458934123
,ETB,esl_20200604115458934123
,ETB1,esl_20200604115458934123
,ETBR,esl_20200604115458934123
,ETRB,esl_20200604115458934123
,HSCR,esl_20200604115458934123
,HSCR2,esl_20200604115458934123
,WS4A,esl_20200604115458934123
,MDA-9,esl_20200604115458934163
,MDA9,esl_20200604115458934163
,ST1,esl_20200604115458934163
,SYCL,esl_20200604115458934163
,TACIP18,esl_20200604115458934163
,CAPPA2,esl_20200604115458934195
,CAPZ,esl_20200604115458934195
