surname,firstInitial,graph_id
Saab,R,author_saab_r
Loughran,SJ,author_loughran_sj
Pecina-Slaus,N,author_pecina_slaus_n
Xu,ZX,author_xu_zx
Goding,CR,author_goding_cr
McLean,CM,author_mclean_cm
Karemaker,ID,author_karemaker_id
van,Leeuwen,author_van_leeuwen
Loeser,H,author_loeser_h
Waldschmidt,D,author_waldschmidt_d
Kuetting,F,author_kuetting_f
Heydt,C,author_heydt_c
Zander,T,author_zander_t
Franco,LC,author_franco_lc
Morales,F,author_morales_f
Laufs,V,author_laufs_v
Altieri,B,author_altieri_b
Sbiera,S,author_sbiera_s
Kircher,S,author_kircher_s
Steinhauer,S,author_steinhauer_s
Willenberg,HS,author_willenberg_hs
Fassnacht,M,author_fassnacht_m
Shokri,G,author_shokri_g
Doudi,S,author_doudi_s
Kan,W,author_kan_w
Bai,X,author_bai_x
Pappas,DL,author_pappas_dl
Wang,PF,author_wang_pf
Farber,L,author_farber_l
Koo,HM,author_koo_hm
Park,YK,author_park_yk
Waring,N,author_waring_n
Lai,B,author_lai_b
Porter,EG,author_porter_eg
Vigdorovich,V,author_vigdorovich_v
Ramagopal,UA,author_ramagopal_ua
Tedesco,D,author_tedesco_d
Lukas,J,author_lukas_j
Reed,SI,author_reed_si
Chan,CH,author_chan_ch
Morrow,JK,author_morrow_jk
Li,CF,author_li_cf
Gao,Y,author_gao_y
Jin,G,author_jin_g
Moten,A,author_moten_a
Stagg,LJ,author_stagg_lj
Ladbury,JE,author_ladbury_je
Leduc,I,author_leduc_i
Preud'homme,JL,author_preud_homme_jl
Cogn�,M,author_cogne_m
Boeing,S,author_boeing_s
Valencia,T,author_valencia_t
Joseph,A,author_joseph_a
Kachroo,N,author_kachroo_n
Darby,S,author_darby_s
Meakin,S,author_meakin_s
Gnanapragasam,VJ,author_gnanapragasam_vj
Jarkowski,A,author_jarkowski_a
Khushalani,NI,author_khushalani_ni
Dankner,M,author_dankner_m
Rose,AAN,author_rose_aan
Rajkumar,S,author_rajkumar_s
Pan,JH,author_pan_jh
Zhu,SB,author_zhu_sb
Huang,JL,author_huang_jl
Zhao,XX,author_zhao_xx
Pan,YL,author_pan_yl
Leonetti,A,author_leonetti_a
Rossi,G,author_rossi_g
