id,EditableStatement_graph_id,InternetReference_graph_id
,es_20200422172704578245,ref_geneInfo_gene_1399
,es_20200422172728509499,ref_geneInfo_gene_10664
,es_20200422172145346355,ref_geneInfo_gene_367
,es_20200422172201524545,ref_geneInfo_gene_171023
,es_20200430163420761511,ref_geneInfo_gene_3703
,es_20200422174749866282,ref_geneInfo_gene_9126
,es_20200422174759854405,ref_geneInfo_gene_6663
,es_20200422172543977553,ref_geneInfo_gene_974
,es_20200422172555342237,ref_geneInfo_gene_926
,es_20200422172555342237,ref_geneInfo_gene_926
,es_20200422181624808543,ref_geneInfo_gene_51284
,es_20200422172101224354,ref_geneInfo_gene_90
,es_20200422172111894446,ref_geneInfo_gene_207
,es_20200422172056623017,ref_geneInfo_gene_25
,es_20200422172059166233,ref_geneInfo_gene_27
,es_20200422172131093883,ref_geneInfo_gene_242
,es_20200422172103498939,ref_geneInfo_gene_91
,es_20200422172108446508,ref_geneInfo_gene_135
,es_20200422172129607442,ref_geneInfo_gene_238
,es_20200422172105978607,ref_geneInfo_gene_94
,es_20200422172136480613,ref_geneInfo_gene_22852
,es_20200422172133978609,ref_geneInfo_gene_29123
,es_20200422172125256448,ref_geneInfo_gene_208
,es_20200422172141997728,ref_geneInfo_gene_328
,es_20200422172156821363,ref_geneInfo_gene_196528
,es_20200422172127386490,ref_geneInfo_gene_10000
,es_20200422172321043678,ref_geneInfo_gene_613
,es_20200422172148041012,ref_geneInfo_gene_369
,es_20200422172152134990,ref_geneInfo_gene_8289
,es_20200422172139747920,ref_geneInfo_gene_324
,es_20200422172154210330,ref_geneInfo_gene_57492
,es_20200422172205386327,ref_geneInfo_gene_55252
,es_20200422172208014061,ref_geneInfo_gene_472
,es_20200422172149598447,ref_geneInfo_gene_10139
,es_20200422172239650357,ref_geneInfo_gene_558
,es_20200422172253885162,ref_geneInfo_gene_580
,es_20200422172159556945,ref_geneInfo_gene_84159
,es_20200422172224741379,ref_geneInfo_gene_6790
,es_20200422172216588375,ref_geneInfo_gene_23200
,es_20200422172244820192,ref_geneInfo_gene_8314
,es_20200422172232582288,ref_geneInfo_gene_8312
,es_20200422172221113086,ref_geneInfo_gene_546
,es_20200422172218754730,ref_geneInfo_gene_545
,es_20200422172236236668,ref_geneInfo_gene_8313
,es_20200422172437864739,ref_geneInfo_gene_595
,es_20200422172242472949,ref_geneInfo_gene_567
,es_20200422172228494571,ref_geneInfo_gene_9212
,es_20200422172256182406,ref_geneInfo_gene_27113
,es_20200422172259201090,ref_geneInfo_gene_8915
,es_20200422172325608299,ref_geneInfo_gene_329
,es_20200422172302324344,ref_geneInfo_gene_596
,es_20200422172313429221,ref_geneInfo_gene_607
,es_20200422172318539663,ref_geneInfo_gene_63035
,es_20200422172305355053,ref_geneInfo_gene_598
,es_20200422172311839335,ref_geneInfo_gene_604
,es_20200422172308001052,ref_geneInfo_gene_10018
,es_20200422172315556625,ref_geneInfo_gene_54880
,es_20200422172309847226,ref_geneInfo_gene_599
,es_20200422172327988584,ref_geneInfo_gene_330
,es_20200422172346234434,ref_geneInfo_gene_673
,es_20200422172330456028,ref_geneInfo_gene_641
,es_20200422172355175206,ref_geneInfo_gene_675
,es_20200422172407033568,ref_geneInfo_gene_694
,es_20200422172343345930,ref_geneInfo_gene_657
,es_20200422172405042424,ref_geneInfo_gene_83990
,es_20200422172351356156,ref_geneInfo_gene_672
,es_20200422172358061526,ref_geneInfo_gene_23476
,es_20200422172409753273,ref_geneInfo_gene_695
,es_20200422172411213555,ref_geneInfo_gene_151888
,es_20200422172418453705,ref_geneInfo_gene_56946
,es_20200422172422753145,ref_geneInfo_gene_811
,es_20200422172439423830,ref_geneInfo_gene_894
,es_20200422172430070649,ref_geneInfo_gene_865
,es_20200422172415336248,ref_geneInfo_gene_64115
,es_20200422172434843636,ref_geneInfo_gene_6347
,es_20200422172428033975,ref_geneInfo_gene_841
,es_20200422172425372318,ref_geneInfo_gene_84433
,es_20200422172432220601,ref_geneInfo_gene_867
,es_20200422172443224706,ref_geneInfo_gene_898
,es_20200422172449280169,ref_geneInfo_gene_9332
,es_20200422172441582984,ref_geneInfo_gene_896
,es_20200422172507724568,ref_geneInfo_gene_940
,es_20200422172445509762,ref_geneInfo_gene_729230
,es_20200422172450884033,ref_geneInfo_gene_914
,es_20200422172515620006,ref_geneInfo_gene_917
,es_20200422172504808420,ref_geneInfo_gene_80381
,es_20200422172520373201,ref_geneInfo_gene_920
,es_20200422172457014044,ref_geneInfo_gene_939
,es_20200422172512455049,ref_geneInfo_gene_916
,es_20200422172452730833,ref_geneInfo_gene_51744
,es_20200422172518035514,ref_geneInfo_gene_952
,es_20200422172549529642,ref_geneInfo_gene_941
,es_20200422172459348018,ref_geneInfo_gene_29126
,es_20200422172509600885,ref_geneInfo_gene_915
,es_20200422172522881721,ref_geneInfo_gene_958
,es_20200422172528528801,ref_geneInfo_gene_960
,es_20200422172538081196,ref_geneInfo_gene_968
,es_20200422172525156605,ref_geneInfo_gene_959
,es_20200422172540013449,ref_geneInfo_gene_972
