name,canonicalTranscript,chromosome,entrezId,jaxId,description_graph_id,graph_id
CDKN2C,NM_001262,1,1031,1031,es_20200422171221297964,jax_gene_1031
MAPKAPK2,NM_032960,1,9261,9261,es_20200422170635388938,jax_gene_9261
DOT1L,NM_032482,19,84444,84444,es_20200422163434616772,jax_gene_84444
CDK9,NM_001261,9,1025,1025,es_20200422175613174909,jax_gene_1025
KDM5A,NM_001042603,12,5927,5927,es_20200422171703395587,jax_gene_5927
CCNJ,NM_019084,10,54619,54619,es_20200422175537452634,jax_gene_54619
SKP2,NM_005983,5,6502,6502,es_20200422163440333257,jax_gene_6502
AGO4,NM_017629,1,192670,192670,es_20200422175534350847,jax_gene_192670
STK19,NM_032454,6,8859,8859,es_20200422163613018010,jax_gene_8859
ATIC,NM_004044,2,471,471,es_20200422163433090412,jax_gene_471
BRAF,NM_004333,7,673,673,es_20200422171928168012,jax_gene_673
HNRNPUL1,NM_007040,19,11100,11100,es_20200422163832276717,jax_gene_11100
CCNH,NM_001239,5,902,902,es_20200422164143434252,jax_gene_902
CBL,NM_005188,11,867,867,es_20200422163436306852,jax_gene_867
EZH2,NM_001203247,7,2146,2146,es_20200422163504852481,jax_gene_2146
FOXO4,NM_005938,X,4303,4303,es_20200422175538102985,jax_gene_4303
UBE2R2,NM_017811,9,54926,54926,es_20200422163442837354,jax_gene_54926
EDNRB,NM_000115,13,1910,1910,es_20200422163446483067,jax_gene_1910
SDCBP,NM_005625,8,6386,6386,es_20200422175542925833,jax_gene_6386
CAPZA2,NM_006136,7,830,830,es_20200422163500130580,jax_gene_830
LEO1,NM_138792,15,123169,123169,es_20200422163455100730,jax_gene_123169
HDAC6,NM_006044,X,10013,10013,es_20200422163453164307,jax_gene_10013
RNF130,NM_018434,5,55819,55819,es_20200422163448527660,jax_gene_55819
GPBP1,NM_022913,5,65056,65056,es_20200422163452610988,jax_gene_65056
TNFAIP3,NM_001270508,6,7128,7128,es_20200422163459159031,jax_gene_7128
KCNH2,NM_000238,7,3757,3757,es_20200422163507316784,jax_gene_3757
DLL4,NM_019074,15,54567,54567,es_20200422163500664886,jax_gene_54567
PACSIN2,NM_001184970,22,11252,11252,es_20200422163457129630,jax_gene_11252
PRRX1,NM_022716,1,5396,5396,es_20200422163503192290,jax_gene_5396
MOS,NM_005372,8,4342,4342,es_20200422163526866867,jax_gene_4342
EPHA3,NM_005233,3,2042,2042,es_20200422163555112696,jax_gene_2042
UGT1A1,NM_000463,2,54658,54658,es_20200422163513099613,jax_gene_54658
SDHB,NM_003000,1,6390,6390,es_20200422163511119001,jax_gene_6390
SLFN11,NM_001104590,17,91607,91607,es_20200422175545324153,jax_gene_91607
NECTIN4,NM_030916,1,81607,81607,es_20200422163512529472,jax_gene_81607
STAT6,NM_001178079,12,6778,6778,es_20200422163539378042,jax_gene_6778
PDE4DIP,NM_014644,1,9659,9659,es_20200422163527802584,jax_gene_9659
SIRT6,NM_016539,19,51548,51548,es_20200422163535297397,jax_gene_51548
PTPRB,NM_002837,12,5787,5787,es_20200422163610934846,jax_gene_5787
DCTN1,NM_004082,2,1639,1639,es_20200422163526960863,jax_gene_1639
TRAF2,NM_021138,9,7186,7186,es_20200422163534033528,jax_gene_7186
PDGFA,NM_002607,7,5154,5154,es_20200422163540905551,jax_gene_5154
FGF10,NM_004465,5,2255,2255,es_20200422163623809784,jax_gene_2255
CDKN2A,NM_000077,9,1029,1029,es_20200422163632714138,jax_gene_1029
JAK1,NM_002227,1,3716,3716,es_20200422163614603431,jax_gene_3716
HSBP1,NM_001537,16,3281,3281,es_20200422163849068940,jax_gene_3281
PIM1,NM_002648,6,5292,5292,es_20200422163612016533,jax_gene_5292
ANXA5,NM_001154,4,308,308,es_20200422175540670037,jax_gene_308
RAF1,NM_002880,3,5894,5894,es_20200422163709813817,jax_gene_5894
CSTF3,NM_001326,11,1479,1479,es_20200422163629728934,jax_gene_1479
THBS1,NM_003246,15,7057,7057,es_20200422163625801139,jax_gene_7057
SOAT1,NM_003101,1,6646,6646,es_20200422163630239312,jax_gene_6646
H2AX,NM_002105,11,3014,3014,es_20200422163635335615,jax_gene_3014
FANCL,NM_018062,2,55120,55120,es_20200422163637748323,jax_gene_55120
KDM4B,NM_015015,19,23030,23030,es_20200422163650105919,jax_gene_23030
HLA-B,NM_005514,6,3106,3106,es_20200422163654723354,jax_gene_3106
