id,name,JaxGene_graph_id
,INK4C,jax_gene_1031
,p18,jax_gene_1031
,p18-INK4C,jax_gene_1031
,MAPKAP-K2,jax_gene_9261
,MK-2,jax_gene_9261
,MK2,jax_gene_9261
,DOT1,jax_gene_84444
,KMT4,jax_gene_84444
,C-2k,jax_gene_1025
,CDC2L4,jax_gene_1025
,CTK1,jax_gene_1025
,PITALRE,jax_gene_1025
,TAK,jax_gene_1025
,RBBP-2,jax_gene_5927
,RBBP2,jax_gene_5927
,RBP2,jax_gene_5927
,bA690P14.1,jax_gene_54619
,FBL1,jax_gene_6502
,FBXL1,jax_gene_6502
,FLB1,jax_gene_6502
,p45,jax_gene_6502
,EIF2C4,jax_gene_192670
,D6S60,jax_gene_8859
,D6S60E,jax_gene_8859
,G11,jax_gene_8859
,HLA-RP1,jax_gene_8859
,RP1,jax_gene_8859
,AICAR,jax_gene_471
,AICARFT,jax_gene_471
,HEL-S-70p,jax_gene_471
,IMPCHASE,jax_gene_471
,PURH,jax_gene_471
,B-raf,jax_gene_673
,B-RAF1,jax_gene_673
,BRAF1,jax_gene_673
,NS7,jax_gene_673
,RAFB1,jax_gene_673
,E1B-AP5,jax_gene_11100
,E1BAP5,jax_gene_11100
,HNRPUL1,jax_gene_11100
,CAK,jax_gene_902
,CycH,jax_gene_902
,p34,jax_gene_902
,p37,jax_gene_902
,C-CBL,jax_gene_867
,CBL2,jax_gene_867
,FRA11B,jax_gene_867
,NSLL,jax_gene_867
,RNF55,jax_gene_867
,ENX-1,jax_gene_2146
,ENX1,jax_gene_2146
,EZH2b,jax_gene_2146
,KMT6,jax_gene_2146
,KMT6A,jax_gene_2146
,WVS,jax_gene_2146
,WVS2,jax_gene_2146
,AFX,jax_gene_4303
,AFX1,jax_gene_4303
,MLLT7,jax_gene_4303
,CDC34B,jax_gene_54926
,E2-CDC34B,jax_gene_54926
,UBC3B,jax_gene_54926
,ABCDS,jax_gene_1910
,ET-B,jax_gene_1910
,ET-BR,jax_gene_1910
,ETB,jax_gene_1910
,ETB1,jax_gene_1910
,ETBR,jax_gene_1910
,ETRB,jax_gene_1910
,HSCR,jax_gene_1910
,HSCR2,jax_gene_1910
,WS4A,jax_gene_1910
,MDA-9,jax_gene_6386
,MDA9,jax_gene_6386
,ST1,jax_gene_6386
,SYCL,jax_gene_6386
,TACIP18,jax_gene_6386
,CAPPA2,jax_gene_830
,CAPZ,jax_gene_830
,RDL,jax_gene_123169
,CPBHM,jax_gene_10013
,HD6,jax_gene_10013
,JM21,jax_gene_10013
,PPP1R90,jax_gene_10013
,G1RZFP,jax_gene_55819
,GOLIATH,jax_gene_55819
,GP,jax_gene_55819
,GPBP,jax_gene_65056
,SSH6,jax_gene_65056
,VASCULIN,jax_gene_65056
,A20,jax_gene_7128
,AISBL,jax_gene_7128
,OTUD7C,jax_gene_7128
,TNFA1P2,jax_gene_7128
,ERG-1,jax_gene_3757
,ERG1,jax_gene_3757
,H-ERG,jax_gene_3757
,HERG,jax_gene_3757
,HERG1,jax_gene_3757
,Kv11.1,jax_gene_3757
,LQT2,jax_gene_3757
,SQT1,jax_gene_3757
,AOS6,jax_gene_54567
,delta4,jax_gene_54567
,hdelta2,jax_gene_54567
,SDPII,jax_gene_11252
,AGOTC,jax_gene_5396
,PHOX1,jax_gene_5396
,PMX1,jax_gene_5396
,PRX-1,jax_gene_5396
,PRX1,jax_gene_5396
,MSV,jax_gene_4342
,EK4,jax_gene_2042
,ETK,jax_gene_2042
,ETK1,jax_gene_2042
,HEK,jax_gene_2042
,HEK4,jax_gene_2042
,TYRO4,jax_gene_2042
,BILIQTL1,jax_gene_54658
,GNT1,jax_gene_54658
,HUG-BR1,jax_gene_54658
,UDPGT,jax_gene_54658
,UDPGT 1-1,jax_gene_54658
,UGT1,jax_gene_54658
,UGT1A,jax_gene_54658
,CWS2,jax_gene_6390
,IP,jax_gene_6390
,PGL4,jax_gene_6390
,SDH,jax_gene_6390
,SDH1,jax_gene_6390
,SDH2,jax_gene_6390
,SDHIP,jax_gene_6390
,SLFN8/9,jax_gene_91607
,EDSS1,jax_gene_81607
,LNIR,jax_gene_81607
,nectin-4,jax_gene_81607
,PRR4,jax_gene_81607
,PVRL4,jax_gene_81607
,D12S1644,jax_gene_6778
,IL-4-STAT,jax_gene_6778
,STAT6B,jax_gene_6778
,STAT6C,jax_gene_6778
,CMYA2,jax_gene_9659
,MMGL,jax_gene_9659
,SIR2L6,jax_gene_51548
,HPTP-BETA,jax_gene_5787
,HPTPB,jax_gene_5787
,PTPB,jax_gene_5787
,R-PTP-BETA,jax_gene_5787
,VEPTP,jax_gene_5787
,DAP-150,jax_gene_1639
,DP-150,jax_gene_1639
,P135,jax_gene_1639
,MGC:45012,jax_gene_7186
,RNF117,jax_gene_7186
,TRAP,jax_gene_7186
,TRAP3,jax_gene_7186
,PDGF-A,jax_gene_5154
,PDGF1,jax_gene_5154
,ARF,jax_gene_1029
,CDK4I,jax_gene_1029
,CDKN2,jax_gene_1029
,CMM2,jax_gene_1029
,INK4,jax_gene_1029
,INK4A,jax_gene_1029
,MLM,jax_gene_1029
,MTS-1,jax_gene_1029
,MTS1,jax_gene_1029
,P14,jax_gene_1029
,P14ARF,jax_gene_1029
,P16,jax_gene_1029
,P16-INK4A,jax_gene_1029
,P16INK4,jax_gene_1029
,P16INK4A,jax_gene_1029
,P19,jax_gene_1029
,P19ARF,jax_gene_1029
,TP16,jax_gene_1029
,JAK1A,jax_gene_3716
,JAK1B,jax_gene_3716
,JTK3,jax_gene_3716
,NPC-A-13,jax_gene_3281
,PIM,jax_gene_5292
,ANX5,jax_gene_308
,ENX2,jax_gene_308
,HEL-S-7,jax_gene_308
,PP4,jax_gene_308
,RPRGL3,jax_gene_308
,c-Raf,jax_gene_5894
,CMD1NN,jax_gene_5894
,CRAF,jax_gene_5894
,NS5,jax_gene_5894
,Raf-1,jax_gene_5894
,CSTF-77,jax_gene_1479
,THBS,jax_gene_7057
,THBS-1,jax_gene_7057
,TSP,jax_gene_7057
,TSP-1,jax_gene_7057
,TSP1,jax_gene_7057
,ACACT,jax_gene_6646
,ACAT,jax_gene_6646
,ACAT-1,jax_gene_6646
