name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
CRKL,CRKL,es_20200514163412126000,es_20200422172704578354,es_20200422172704578370,geneInfo_gene_1399,jax_gene_1399,uniprot_P46109,omnigene_1399
AR,AR,es_20200428134653496000,es_20200422172145719434,es_20200422172145719452,geneInfo_gene_367,jax_gene_367,uniprot_P10275,omnigene_367
SMC3,SMC3,es_20200422174749866373,es_20200422174749866391,es_20200422174749866407,geneInfo_gene_9126,jax_gene_9126,uniprot_Q9UQE7,omnigene_9126
SOX10,SOX10,es_20200422174800270384,es_20200422174800270411,es_20200422174800270429,geneInfo_gene_6663,jax_gene_6663,uniprot_P56693,omnigene_6663
CD79B,CD79B,es_20200513144917885000,es_20200422172543977661,es_20200422172543977677,geneInfo_gene_974,jax_gene_974,uniprot_P40259,omnigene_974
ACVR1,ACVR1,es_20200427105937999000,es_20200422172101224462,es_20200422172101224479,geneInfo_gene_90,jax_gene_90,uniprot_Q04771,omnigene_90
ABL2,ABL2,es_20200430190649983000,es_20200422172059166344,es_20200428124635101000,geneInfo_gene_27,jax_gene_27,uniprot_P42684,omnigene_27
ACVR1B,ACVR1B,es_20200427105951301000,es_20200422172103499054,es_20200422172103499071,geneInfo_gene_91,jax_gene_91,uniprot_P36896,omnigene_91
ABL1,ABL1,es_2020042315331686000,es_20200422172057009374,es_20200424160823642000,geneInfo_gene_25,jax_gene_25,uniprot_P00519,omnigene_25
ADORA2A,ADORA2A,es_20200423071749530689,es_20200422172108446620,es_20200422172108446636,geneInfo_gene_135,jax_gene_135,uniprot_P29274,omnigene_135
ACVRL1,ACVRL1,es_20200427160806345000,es_20200422172105978721,es_20200422172105978738,geneInfo_gene_94,,uniprot_P37023,omnigene_94
ANKRD26,ANKRD26,es_20200428103418697000,es_20200422172136480721,es_20200422172136480737,geneInfo_gene_22852,jax_gene_22852,uniprot_Q9UPS8,omnigene_22852
